segmento,tiempo,frame,segundo,id,equipo,x,y,x_norm,y_norm,zona_v,zona_h,conf
2T — Inicio a TM Olimpia,2T,11604,386.8,3844,olimpia,555.7,212.9,0.868,0.414,definicion,carril_central,0.75
2T — Inicio a TM Olimpia,2T,11607,386.9,3844,olimpia,557.2,214.2,0.871,0.419,definicion,carril_central,0.71
2T — Inicio a TM Olimpia,2T,11622,387.4,3852,marmoleria,437.1,194.7,0.683,0.399,definicion,carril_central,0.75
2T — Inicio a TM Olimpia,2T,11628,387.6,3852,marmoleria,435.3,194.1,0.68,0.397,definicion,carril_central,0.78
2T — Inicio a TM Olimpia,2T,11628,387.6,3854,olimpia,457.3,145.2,0.715,0.219,definicion,carril_izquierdo,0.76
2T — Inicio a TM Olimpia,2T,11631,387.7,3852,marmoleria,426.7,195.2,0.667,0.401,definicion,carril_central,0.76
2T — Inicio a TM Olimpia,2T,11631,387.7,3854,olimpia,460.3,147.1,0.719,0.226,definicion,carril_izquierdo,0.81
2T — Inicio a TM Olimpia,2T,11634,387.8,3844,olimpia,571.1,216.7,0.892,0.479,definicion,carril_central,0.81
2T — Inicio a TM Olimpia,2T,11634,387.8,3852,marmoleria,420.9,198.7,0.658,0.413,gestacion,carril_central,0.8
2T — Inicio a TM Olimpia,2T,11634,387.8,3854,olimpia,462.4,148.1,0.723,0.23,definicion,carril_izquierdo,0.67
2T — Inicio a TM Olimpia,2T,11637,387.9,3852,marmoleria,418.6,198.5,0.654,0.413,gestacion,carril_central,0.75
2T — Inicio a TM Olimpia,2T,11640,388.0,3844,olimpia,574.1,216.2,0.897,0.477,definicion,carril_central,0.64
2T — Inicio a TM Olimpia,2T,11640,388.0,3852,marmoleria,417.0,199.9,0.652,0.418,gestacion,carril_central,0.77
2T — Inicio a TM Olimpia,2T,11643,388.1,3844,olimpia,573.8,215.8,0.897,0.476,definicion,carril_central,0.46
2T — Inicio a TM Olimpia,2T,11643,388.1,3852,marmoleria,414.5,200.4,0.648,0.42,gestacion,carril_central,0.81
2T — Inicio a TM Olimpia,2T,11646,388.2,3844,olimpia,577.6,215.5,0.902,0.474,definicion,carril_central,0.52
2T — Inicio a TM Olimpia,2T,11646,388.2,3852,marmoleria,412.5,201.0,0.645,0.422,gestacion,carril_central,0.78
2T — Inicio a TM Olimpia,2T,11646,388.2,3854,olimpia,468.3,151.1,0.732,0.241,definicion,carril_izquierdo,0.57
2T — Inicio a TM Olimpia,2T,11649,388.3,3844,olimpia,578.8,214.4,0.904,0.47,definicion,carril_central,0.63
2T — Inicio a TM Olimpia,2T,11649,388.3,3852,marmoleria,408.0,203.2,0.637,0.43,gestacion,carril_central,0.7
2T — Inicio a TM Olimpia,2T,11649,388.3,3854,olimpia,470.5,151.5,0.735,0.242,definicion,carril_izquierdo,0.57
